,0
121,886.9047556530884
122,879.5212923783174
123,866.040271895901
124,862.294035983392
125,856.8253166741517
126,851.5256677711012
127,847.7774144784777
128,838.9972493258272
129,829.9642628512362
130,824.5716989030996
131,825.7022535339195
132,820.305358598541
133,812.4803945344938
134,806.0321841140947
135,797.3356577861534
136,790.8175246418998
137,778.2150911692715
138,774.7879430393768
139,768.1295889644916
140,758.7235563792289
141,762.4545416093518
142,759.7054126405296
143,760.4369311115548
144,752.0468940721942
145,746.2373159852351
146,739.8615212209198
147,742.396701957945
148,736.5526030839817
149,729.9064118803631
150,715.8073630726196
151,716.1343721987281
152,712.6520152192078
153,702.669360127551
154,699.6712563500377
155,702.4082182849555
156,702.5698858812901
157,700.7343860948765
158,697.4629167725915
159,692.4128399016898
160,693.217382089725
161,686.9831236038846
162,680.6026104280422
163,672.5790454924255
164,665.1913317043276
165,660.7354003939813
166,656.0615040554409
167,656.9471947535053
168,651.7459394601968
169,639.2769972906433
170,637.6797169783931
171,635.4477636594594
172,628.5440855320763
173,626.2326625892492
174,620.0666120379282
175,621.2685795133218
176,613.6512998877209
177,618.8981837228793
178,624.7346111292901
179,616.3722213443291
180,609.8273009805545
181,595.7765742577785
182,597.6578541258258
183,591.9059578209487
184,586.2231851798641
185,583.2456781796404
186,578.2173276966253
187,581.672031019053
188,579.343925881752
189,570.7090454471537
190,567.4967900793629
191,561.3971122133262
192,559.6139042271617
193,553.0507011565556
194,551.348765290253
195,551.8262738719986
196,550.9308991921988
197,548.2137734135622
198,541.6520453734437
199,533.3882270012681
200,531.7957690025364
201,527.249551463193
202,525.8991325753808
203,526.6147630953673
204,526.9413135908432
205,524.7534472757737
206,527.3319431534082
207,516.7269530303131
208,520.972632562517
209,521.810512625366
210,523.0336887930222
211,520.0615334518644
212,518.260783610034
213,517.0760005793379
214,512.8509824904626
215,504.44507201017643
216,500.2071355743382
217,496.63777729809715
218,492.3829833532414
219,487.1944473930573
220,481.48203107890396
221,481.114130999452
222,476.66670934206684
223,478.21052129155254
224,477.00688320901185
225,471.4405137651461
226,474.61505362900044
227,471.18125470908114
228,471.14539934910226
229,467.07750875933016
230,467.75150305959284
231,462.0135323927379
232,462.33132017633307
233,461.1303352587927
234,458.76133487259887
235,459.26721393634926
236,459.87457307033543
237,453.25006545560944
238,452.87449004335724
239,451.89554529146176
240,453.56826978043796
241,446.94247682019136
242,449.23527583005847
243,446.12468233407026
244,450.37222515981153
245,445.92820749896333
246,443.3183893022581
247,438.5061617640781
